1237211	30	125	0	222
1237213	65	162	0	223
1237234	30	125	0	224
1237238	65	161	0	225
1237242	30	166	1	226
1237253	23	142	1	227
1237253	29	125	0	228
1237257	65	161	0	229
1237276	29	125	0	230
1237281	65	160	0	231
1237295	28	125	0	232
1237298	29	166	1	233
1237300	65	160	0	234
1237312	23	141	1	235
1237317	28	125	0	236
1237325	65	159	0	237
1237336	27	125	0	238
1237344	65	159	0	239
1237353	28	166	1	240
1237359	27	125	0	241
1237368	65	158	0	242
1237372	23	140	1	243
1237378	26	125	0	244
1237387	65	158	0	245
1237400	26	125	0	246
1237408	27	166	1	247
1237409	27	166	1	248
1237411	65	157	0	249
1237412	65	157	1	250
1237419	25	125	0	251
1237430	65	157	0	252
1237431	23	139	1	253
1237441	25	125	0	254
1237455	65	156	0	255
1237460	24	125	0	256
1237463	26	166	1	257
1237473	65	156	0	258
1237482	24	125	0	259
1237489	23	138	1	260
1237490	23	138	1	261
1237497	65	155	0	262
1237501	23	125	0	263
1237516	65	155	0	264
1237518	25	166	1	265
1237523	23	125	0	266
1237540	65	154	0	267
1237548	23	137	1	268
1237558	65	154	0	269
1237572	24	166	1	270
1237582	65	153	0	271
1237601	65	153	0	272
1237606	23	136	1	273
1237624	65	152	0	274
1237642	65	152	0	275
1237663	23	135	1	276
1237666	65	151	0	277
1237684	65	151	0	278
1237708	65	150	0	279
1237720	23	134	1	280
1237726	65	150	0	281
1237749	65	149	0	282
1237767	65	149	0	283
1237777	23	133	1	284
1237790	65	148	0	285
1237808	65	148	0	286
1237831	65	147	0	287
1237833	23	132	1	288
1237849	65	147	0	289
1237872	65	146	0	290
1237889	23	131	1	291
1237890	65	146	0	292
1237913	65	145	0	293
1237930	65	145	0	294
1237945	23	130	1	295
1237953	65	144	0	296
1237970	65	144	0	297
1237993	65	143	0	298
1237999	23	129	1	299
1238011	65	143	0	300
1238033	65	142	0	301
1238051	65	142	0	302
1238054	23	128	1	303
1238073	65	141	0	304
1238090	65	141	0	305
1238109	23	127	1	306
1238113	65	140	0	307
1238130	65	140	0	308
1238152	65	139	0	309
1238163	23	126	1	310
1238169	65	139	0	311
1238191	65	138	0	312
1238208	65	138	0	313
1238216	23	125	1	314
